11.310198909007875, 49019209.00352821
14.231680282327536, 146511468.6631493
17.907795016503133, 87759605.47877492
22.65063087469926, 191842437.25021532
28.353977231796105, 250360445.68080673
35.86345898616673, 351121724.01233923
44.993849690561085, 524249246.737595
56.82042849469834, 643907567.885082
71.45127485824322, 850959345.7238874
89.90749921624719, 1099505211.3358603
113.25413151528114, 1413221005.6928673
143.0228425829313, 1714919337.4294083
179.68197166997936, 2031295513.2520337
224.56979955397762, 2377116246.0223327
283.5976989162223, 2682695795.2797165
358.14101001254517, 2884589601.484633
452.27793999378247, 3064393537.713238
565.2652037547698, 3064393537.713238
711.4073028842154, 2889946188.4567475
901.4776314524918, 2556012805.05277
1133.1161101111463, 2084394615.828237
1423.3556022929029, 1523481467.3127384
1791.015527035435, 966850928.5357345
2265.3616236029634, 515462275.2257916
2850.515946743848, 222833275.08355638
3568.2654801075114, 67921330.14855976
4513.311894533246, 15293594.55667624
