11.191675350864319, 2692948179.4443364
14.110862871292921, 6834698082.728339
17.83402258535232, 8384750491.324849
22.41023592257924, 8081359140.120163
28.387359647587548, 16769967638.352045
35.59092584815437, 16769967638.352045
44.64249085200303, 19265809244.001465
56.23413251903494, 27722184069.86804
70.54736017830048, 26179870175.053566
88.56213433940837, 30696083336.94956
111.97140890703709, 39696534880.36016
140.6735885913782, 46371888239.44095
177.82794100389228, 54186080004.51775
222.95349551952285, 58921021876.12271
282.4183147319169, 65621751372.52818
354.0846849643017, 73964422212.2936
448.3612977716193, 79631772582.28195
562.341325190349, 81395971416.44418
708.673884170751, 79470857697.0117
888.506714790159, 72215073669.94005
1132.201881286368, 60213205190.53779
1416.9731984471869, 43531611764.82863
1783.4963935029361, 27650726283.476616
2244.8267822734947, 15990755103.551048
2825.4877894733886, 8236405099.003114
3556.3462230158684, 3437899139.5506377
4476.253093387634, 943588035.2290747
5634.108857677708, 65581236.64404844
